,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
KENTUCKY,KENTUCKY,57.0,544,6,4,12.3,150,sec,8,10,869,0.531,2057,0.464,955,0.375,771,0.728,561,0.273,,4,14,13,1360,Kentucky,,115.7,33.8,406,55.2,473,8.7,109,796,0.488,2016,0.425,857,0.37,745,0.73,544,0.27,,30.1,375,615,2510,9.5,225,0.395,797,0.316,252,1219,0.496,605,47.9,1171,0.53,13.7,376,69.8,627,2746,19.82,10.2,243,12.88,0.392,806,0.341,275,1251,0.544,680,52.1,1275,0.567,12.8,357,0.618,21
LEHIGH,LEHIGH,55.0,487,11,4,8.2,113,patriot,7,11,822,0.534,1909,0.464,886,0.323,617,0.731,451,0.236,,4,13,16,1405,Lehigh,,105.7,23.6,261,44.8,407,7.8,91,847,0.498,2038,0.446,908,0.316,644,0.753,485,0.238,,31.1,371,583,2515,11.8,279,0.322,657,0.326,214,1381,0.503,694,52.9,1218,0.536,14.1,385,67.1,543,2490,-9.32,9.7,228,-7.03,0.389,743,0.359,267,1166,0.531,619,47.1,1083,0.565,15.8,412,0.529,18
LONG-ISLAND-UNIVERSITY,LONG-ISLAND-UNIVERSITY,49.7,464,9,10,13.9,183,nec,3,15,804,0.533,1941,0.481,933,0.347,674,0.668,450,0.232,,1,14,10,1365,Long Island University,,108.3,34.3,386,49.2,430,8.1,112,740,0.498,1964,0.445,874,0.341,670,0.69,462,0.235,,32.6,389,595,2418,10.5,244,0.332,652,0.319,208,1312,0.508,666,48.7,1129,0.53,16.2,440,68.1,599,2519,-4.94,11.4,266,-7.91,0.29,562,0.361,203,1379,0.529,730,51.3,1190,0.557,16.4,442,0.706,24
LOUISVILLE,LOUISVILLE,59.5,564,7,4,9.2,110,acc,7,11,895,0.564,2016,0.47,948,0.335,675,0.769,519,0.257,,2,15,10,1320,Louisville,,119.4,32.9,374,48.3,402,12.4,118,764,0.488,1964,0.424,832,0.334,656,0.712,467,0.238,,26.9,329,585,2382,9.2,216,0.391,768,0.327,251,1196,0.486,581,46.3,1093,0.523,14.7,391,71.0,608,2797,23.42,9.7,227,10.84,0.528,1065,0.357,380,951,0.597,568,53.7,1269,0.599,14.1,384,0.697,23
MARYLAND-BALTIMORE-COUNTY,MARYLAND-BALTIMORE-COUNTY,45.2,389,6,9,6.8,82,america-east,2,14,872,0.542,1827,0.471,861,0.329,601,0.762,458,0.251,,2,15,8,1290,Maryland-Baltimore County,,113.0,25.6,263,41.3,333,6.7,74,764,0.481,1903,0.424,806,0.245,467,0.675,315,0.166,,25.2,294,491,2144,8.0,173,0.368,701,0.31,217,1202,0.49,589,48.2,1058,0.505,13.4,329,66.9,424,2439,-4.39,7.5,161,-11.86,0.392,717,0.361,259,1110,0.542,602,51.8,1135,0.577,12.7,307,0.75,24
MCNEESE-STATE,MCNEESE-STATE,50.3,467,5,9,15.7,143,southland,3,19,744,0.523,1985,0.468,928,0.381,756,0.747,565,0.285,,0,14,5,1335,McNeese State,,117.6,36.4,418,56.4,399,6.3,81,729,0.484,1741,0.407,708,0.403,701,0.725,508,0.292,,34.1,385,585,2193,6.6,149,0.477,831,0.324,269,910,0.482,439,48.9,1114,0.529,21.2,559,67.3,618,2641,7.78,15.5,348,-2.03,0.347,689,0.319,220,1296,0.546,708,51.1,1162,0.563,11.9,317,0.848,28
MIAMI-FL,MIAMI-FL,53.7,531,2,8,10.0,112,acc,5,13,827,0.556,1974,0.501,989,0.375,740,0.685,507,0.257,,3,15,8,1320,Miami (FL),,118.2,37.0,404,54.3,458,10.2,138,689,0.517,1897,0.445,844,0.29,551,0.697,384,0.202,,26.3,295,595,2349,9.7,221,0.409,776,0.354,275,1121,0.508,569,44.4,984,0.544,16.3,420,69.3,510,2704,18.05,11.4,260,7.29,0.317,625,0.347,217,1349,0.572,772,55.6,1231,0.581,13.7,370,0.758,25
MIAMI-OH,MIAMI-OH,51.5,516,0,14,8.6,107,mac,0,18,870,0.612,1909,0.524,1001,0.396,756,0.749,566,0.296,,0,16,1,1300,Miami (OH),,123.9,26.4,265,46.8,407,7.3,77,739,0.497,1994,0.436,869,0.291,580,0.738,428,0.215,,27.7,334,623,2409,8.5,199,0.375,748,0.325,243,1246,0.502,626,48.6,1073,0.531,15.4,412,72.1,515,2902,5.38,10.2,238,-5.48,0.447,853,0.392,334,1056,0.632,667,51.4,1135,0.64,12.9,335,0.969,31
MICHIGAN,MICHIGAN,61.1,613,0,11,16.3,197,big-ten,1,19,963,0.582,1982,0.507,1004,0.386,765,0.746,571,0.288,,1,14,2,1326,Michigan,,121.4,35.4,363,45.9,366,9.3,107,661,0.444,2098,0.38,798,0.259,544,0.752,409,0.195,,27.8,370,649,2273,9.0,214,0.423,887,0.302,268,1211,0.438,530,43.7,1031,0.482,13.7,375,71.6,513,2880,32.93,8.1,192,14.54,0.419,831,0.362,301,1151,0.611,703,56.3,1326,0.614,14.6,400,0.939,31
MICHIGAN-STATE,MICHIGAN-STATE,67.0,591,4,6,13.3,131,big-ten,5,15,868,0.536,1874,0.471,882,0.362,678,0.763,517,0.276,,2,15,7,1290,Michigan State,,117.3,38.5,407,56.4,421,8.1,97,651,0.486,1818,0.41,746,0.309,562,0.751,422,0.232,,22.6,254,599,2189,9.7,209,0.46,836,0.329,275,982,0.48,471,41.5,905,0.525,13.2,318,66.8,521,2526,23.46,7.6,164,12.92,0.364,682,0.359,245,1192,0.534,637,58.5,1275,0.575,14.4,368,0.781,25
