,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
GRAND-CANYON,GRAND-CANYON,46.2,409,3,8,13.8,175,wac,3,17,869,0.528,1903,0.465,885,0.436,830,0.753,625,0.328,33,0,16,4,1325,Grand Canyon,,114.0,34.9,391,47.5,367,6.9,84,728,0.459,1907,0.405,772,0.338,644,0.71,457,0.24,,29.5,363,661,2208,8.5,197,0.335,638,0.324,207,1269,0.445,565,46.4,1091,0.499,17.2,460,69.8,591,2633,10.03,11.7,271,-1.69,0.363,691,0.344,238,1212,0.534,647,53.6,1260,0.573,15.0,405,0.879,29
HOUSTON,HOUSTON,49.1,440,3,7,16.1,161,big-12,3,15,815,0.497,2065,0.434,896,0.299,618,0.694,429,0.208,34,0,17,4,1370,Houston,,113.0,36.9,465,60.2,387,7.4,97,796,0.44,1697,0.379,643,0.39,661,0.67,443,0.261,,30.3,354,545,1937,7.9,173,0.409,694,0.3,208,1003,0.434,435,47.3,1150,0.482,21.2,542,64.2,605,2483,26.36,15.5,340,10.3,0.366,756,0.347,262,1309,0.484,634,52.7,1280,0.526,11.4,302,0.882,30
HOWARD,HOWARD,55.8,472,9,6,7.3,97,meac,5,9,837,0.524,1875,0.451,846,0.419,786,0.749,589,0.314,34,4,9,16,1380,Howard,,106.5,34.6,384,46.9,415,10.5,120,727,0.502,1980,0.446,884,0.392,777,0.698,542,0.274,,30.7,370,647,2529,10.9,261,0.329,651,0.336,219,1329,0.5,665,47.3,1097,0.538,15.2,420,69.5,649,2555,-8.41,8.6,207,-7.82,0.391,733,0.374,274,1142,0.501,572,52.7,1221,0.568,19.2,533,0.529,18
ILLINOIS,ILLINOIS,44.3,428,5,6,8.1,124,big-ten,6,14,941,0.537,2057,0.47,966,0.374,769,0.74,569,0.277,33,3,15,8,1330,Illinois,,118.3,36.0,427,42.4,385,8.4,107,760,0.478,2110,0.431,909,0.269,567,0.711,403,0.191,,25.8,327,617,2422,7.8,184,0.278,587,0.342,201,1523,0.465,708,44.3,1087,0.509,10.9,291,70.6,503,2777,19.79,6.0,142,9.03,0.384,789,0.35,276,1268,0.544,690,55.7,1368,0.573,12.8,357,0.758,25
IOWA-STATE,IOWA-STATE,58.1,536,5,5,10.8,104,big-12,5,13,789,0.519,1992,0.463,923,0.361,719,0.697,501,0.252,34,0,18,7,1360,Iowa State,,110.8,31.6,368,58.8,411,8.7,118,796,0.471,1748,0.4,699,0.352,615,0.712,438,0.251,,29.4,329,627,2084,9.0,209,0.45,787,0.315,248,961,0.469,451,49.3,1125,0.511,22.6,596,68.2,560,2569,23.02,15.3,355,8.76,0.32,637,0.349,222,1355,0.517,701,50.7,1157,0.55,13.5,363,0.794,27
JAMES-MADISON,JAMES-MADISON,54.1,558,2,12,8.0,103,sun-belt,3,15,927,0.549,2148,0.48,1031,0.334,718,0.708,508,0.236,34,1,14,3,1375,James Madison,,116.2,32.7,394,42.4,350,8.7,116,810,0.464,1998,0.413,826,0.34,680,0.731,497,0.249,,26.7,338,586,2352,7.9,196,0.352,704,0.288,203,1294,0.481,623,46.5,1148,0.507,17.5,491,71.8,584,2868,8.68,12.4,306,-4.81,0.38,817,0.365,298,1331,0.551,733,53.5,1321,0.576,12.8,366,0.912,31
KANSAS,KANSAS,67.0,602,7,3,11.0,124,big-12,8,10,894,0.537,1839,0.488,898,0.323,594,0.727,432,0.235,32,1,15,10,1285,Kansas,,107.5,25.3,257,51.0,396,6.8,88,758,0.473,1924,0.404,777,0.281,541,0.701,379,0.197,,26.1,316,517,2198,9.9,222,0.414,797,0.332,265,1127,0.454,512,48.3,1074,0.504,14.8,378,69.7,467,2408,17.63,10.4,233,11.73,0.297,547,0.329,180,1292,0.556,718,51.7,1151,0.568,14.9,371,0.688,22
KENTUCKY,KENTUCKY,54.6,562,3,7,16.1,201,sec,5,13,881,0.574,2071,0.497,1029,0.304,629,0.773,486,0.235,32,4,14,9,1295,Kentucky,,119.4,28.9,321,52.0,463,8.9,115,791,0.494,2075,0.429,891,0.333,692,0.72,498,0.24,,30.4,384,544,2550,8.6,206,0.399,828,0.326,270,1247,0.498,621,49.4,1175,0.53,13.8,384,74.0,559,2862,17.63,10.3,246,7.88,0.373,772,0.412,318,1299,0.547,711,50.6,1202,0.604,12.6,341,0.719,23
LONG-BEACH-STATE,LONG-BEACH-STATE,55.6,539,7,9,12.3,148,big-west,10,10,916,0.491,2167,0.447,969,0.384,833,0.711,592,0.273,35,5,8,14,1410,Long Beach State,,106.1,33.4,433,58.8,542,5.8,90,864,0.507,2133,0.432,921,0.315,672,0.723,486,0.228,,29.2,378,711,2650,9.6,245,0.437,932,0.345,322,1201,0.499,599,47.9,1242,0.54,16.4,482,72.7,606,2721,-0.98,10.9,279,-1.59,0.286,620,0.308,191,1547,0.503,778,52.1,1349,0.531,14.7,442,0.6,21
LONGWOOD,LONGWOOD,47.7,437,10,6,7.8,87,big-south,10,6,860,0.505,2012,0.456,917,0.392,788,0.681,537,0.267,34,3,13,13,1380,Longwood,,109.4,38.7,465,49.6,400,6.8,98,738,0.504,1849,0.436,806,0.349,645,0.69,445,0.241,,24.2,274,666,2310,9.0,211,0.399,738,0.343,253,1111,0.498,553,43.3,1012,0.536,17.9,469,68.3,623,2569,-1.47,10.2,240,-5.57,0.287,577,0.343,198,1435,0.501,719,56.7,1325,0.538,15.1,426,0.618,21
