,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
,18.6,24.0,2.0,4.0,0.4,sec,0.2,19.3,39.0,0.5,0.525,61.0,0.475,29.0,0.213,13.0,0.769,10.0,23.0,0.0,,224.0,0.2,12.2,25.0,0.5,27.0,20.4,johnell-davis-1,74.0,88.0,Guard,3.3,13.0,,0.426,26.0,0.231,6.0,15.8,64.0,0.551,20.2,17.0,35.0,0.657,23.0,18.1,,1.1,0.192,Johnell Davis
,8.3,9.0,11.9,20.0,4.8,sec,2.4,19.2,33.0,0.3,0.635,52.0,0.577,30.0,0.423,22.0,0.773,17.0,15.0,0.0,,176.0,2.3,10.6,16.0,0.5,23.0,23.9,zvonimir-ivisic-1,83.0,81.0,Forward,1.5,5.0,,0.308,16.0,0.375,6.0,15.1,49.0,0.665,19.4,15.0,36.0,0.667,24.0,21.0,,0.7,0.169,Zvonimir Ivisic
,8.3,9.0,11.9,20.0,4.8,sec,2.4,19.2,33.0,0.3,0.635,52.0,0.577,30.0,0.423,22.0,0.773,17.0,15.0,0.0,,176.0,2.3,10.6,16.0,0.5,23.0,23.9,zvonimir-ivisic-1,83.0,81.0,Forward,1.5,5.0,,0.308,16.0,0.375,6.0,15.1,49.0,0.665,19.4,15.0,36.0,0.667,24.0,21.0,,0.7,0.169,Zvonimir Ivisic
,31.9,103.0,0.2,1.0,6.1,sec,2.3,9.5,53.0,0.9,0.466,235.0,0.391,92.0,0.264,62.0,0.839,52.0,18.0,18.0,,614.0,3.8,1.8,9.0,1.4,32.0,18.3,boogie-fland-1,271.0,293.0,Guard,2.5,27.0,,0.409,96.0,0.365,35.0,5.8,62.0,0.512,9.6,28.0,139.0,0.41,57.0,24.0,,2.3,0.147,Boogie Fland
,31.9,103.0,0.2,1.0,6.1,sec,2.3,9.5,53.0,0.9,0.466,235.0,0.391,92.0,0.264,62.0,0.839,52.0,18.0,18.0,,614.0,3.8,1.8,9.0,1.4,32.0,18.3,boogie-fland-1,271.0,293.0,Guard,2.5,27.0,,0.409,96.0,0.365,35.0,5.8,62.0,0.512,9.6,28.0,139.0,0.41,57.0,24.0,,2.3,0.147,Boogie Fland
,7.9,35.0,1.8,13.0,3.7,sec,2.5,11.6,82.0,1.1,0.523,192.0,0.443,85.0,0.375,72.0,0.806,58.0,33.0,21.0,,783.0,1.2,3.4,22.0,1.1,63.0,12.7,karter-knox-1,259.0,245.0,Forward,1.5,20.0,,0.49,94.0,0.33,31.0,7.6,104.0,0.573,12.7,33.0,98.0,0.551,54.0,16.7,,2.2,0.11,Karter Knox
,7.9,35.0,1.8,13.0,3.7,sec,2.5,11.6,82.0,1.1,0.523,192.0,0.443,85.0,0.375,72.0,0.806,58.0,33.0,21.0,,783.0,1.2,3.4,22.0,1.1,63.0,12.7,karter-knox-1,259.0,245.0,Forward,1.5,20.0,,0.49,94.0,0.33,31.0,7.6,104.0,0.573,12.7,33.0,98.0,0.551,54.0,16.7,,2.2,0.11,Karter Knox
,7.4,19.0,9.9,48.0,5.8,sec,2.8,20.8,95.0,0.8,0.582,116.0,0.534,62.0,0.431,50.0,0.62,31.0,25.0,23.0,,537.0,3.0,7.2,33.0,0.9,32.0,19.6,trevon-brazile-1,166.0,158.0,Forward,1.3,12.0,,0.284,33.0,0.333,11.0,14.0,128.0,0.594,17.2,29.0,83.0,0.614,51.0,16.1,,1.6,0.122,Trevon Brazile
,7.4,19.0,9.9,48.0,5.8,sec,2.8,20.8,95.0,0.8,0.582,116.0,0.534,62.0,0.431,50.0,0.62,31.0,25.0,23.0,,537.0,3.0,7.2,33.0,0.9,32.0,19.6,trevon-brazile-1,166.0,158.0,Forward,1.3,12.0,,0.284,33.0,0.333,11.0,14.0,128.0,0.594,17.2,29.0,83.0,0.614,51.0,16.1,,1.6,0.122,Trevon Brazile
,3.6,3.0,8.2,10.0,2.3,sec,2.9,18.1,23.0,0.4,0.325,40.0,0.325,13.0,0.425,17.0,0.824,14.0,19.0,0.0,,148.0,-0.6,14.4,19.0,0.2,19.0,14.7,jonas-aidoo-1,40.0,46.0,Forward,1.6,4.0,,0.0,0.0,,0.0,16.2,42.0,0.416,9.4,5.0,40.0,0.325,13.0,17.9,,0.5,0.14,Jonas Aidoo
,3.6,3.0,8.2,10.0,2.3,sec,2.9,18.1,23.0,0.4,0.325,40.0,0.325,13.0,0.425,17.0,0.824,14.0,19.0,0.0,,148.0,-0.6,14.4,19.0,0.2,19.0,14.7,jonas-aidoo-1,40.0,46.0,Forward,1.6,4.0,,0.0,0.0,,0.0,16.2,42.0,0.416,9.4,5.0,40.0,0.325,13.0,17.9,,0.5,0.14,Jonas Aidoo
,14.9,46.0,2.9,15.0,3.0,sec,3.2,12.3,63.0,0.9,0.547,137.0,0.54,74.0,0.343,47.0,0.745,35.0,33.0,0.0,,567.0,-0.2,5.9,28.0,0.7,69.0,13.9,billy-richmond-iii-1,185.0,194.0,Forward,1.9,19.0,,0.095,13.0,0.154,2.0,9.2,91.0,0.581,20.5,41.0,124.0,0.581,72.0,17.8,,1.5,0.108,Billy Richmond III
,14.9,46.0,2.9,15.0,3.0,sec,3.2,12.3,63.0,0.9,0.547,137.0,0.54,74.0,0.343,47.0,0.745,35.0,33.0,0.0,,567.0,-0.2,5.9,28.0,0.7,69.0,13.9,billy-richmond-iii-1,185.0,194.0,Forward,1.9,19.0,,0.095,13.0,0.154,2.0,9.2,91.0,0.581,20.5,41.0,124.0,0.581,72.0,17.8,,1.5,0.108,Billy Richmond III
,0.0,0.0,0.0,0.0,-23.3,sec,-4.6,18.4,1.0,0.0,0.333,3.0,0.333,1.0,0.0,0.0,,0.0,1.0,0.0,,6.0,-18.7,0.0,0.0,0.0,0.0,-5.5,casmir-chavis-1,2.0,2.0,Guard,0.0,0.0,,0.0,0.0,,0.0,9.6,1.0,0.333,25.0,1.0,3.0,0.333,1.0,33.6,,0.0,-0.201,Casmir Chavis
,0.0,0.0,0.0,0.0,-23.3,sec,-4.6,18.4,1.0,0.0,0.333,3.0,0.333,1.0,0.0,0.0,,0.0,1.0,0.0,,6.0,-18.7,0.0,0.0,0.0,0.0,-5.5,casmir-chavis-1,2.0,2.0,Guard,0.0,0.0,,0.0,0.0,,0.0,9.6,1.0,0.333,25.0,1.0,3.0,0.333,1.0,33.6,,0.0,-0.201,Casmir Chavis
,0.0,0.0,0.0,0.0,-13.5,sec,-7.2,0.0,0.0,0.0,0.333,3.0,0.333,1.0,0.0,0.0,,0.0,2.0,0.0,,4.0,-6.3,30.0,1.0,0.0,0.0,12.6,ayden-kelley-1,2.0,2.0,Guard,0.0,0.0,,0.333,1.0,0.0,0.0,14.4,1.0,0.333,0.0,0.0,2.0,0.5,1.0,37.8,,0.0,-0.008,Ayden Kelley
