assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
11.6,60,3.4,27,3.9,sec,0.7,18.2,146,1.7,0.548,293,0.468,137,0.331,97,0.804,78,33,30,,910,3.2,7.3,52,2.5,62,21.6,will-richard-2,399,391,Guard,2.6,41,FLORIDA,0.491,144,0.326,47,13.1,198,0.588,11.9,46,149,0.604,90,21.7,,4.2,0.185,Will Richard
10,44,5.8,45,3.2,sec,2.2,22.5,157,1,0.488,208,0.462,96,0.529,110,0.673,74,36,1,,732,1.1,10.2,72,1.2,93,17.6,alex-condon-1,277,291,Forward,1.1,15,FLORIDA,0.183,38,0.289,11,16.3,229,0.532,16.9,53,170,0.5,85,19.6,,2.2,0.12,Alex Condon
10,44,5.8,45,3.2,sec,2.2,22.5,157,1,0.488,208,0.462,96,0.529,110,0.673,74,36,1,,732,1.1,10.2,72,1.2,93,17.6,alex-condon-1,277,291,Forward,1.1,15,FLORIDA,0.183,38,0.289,11,16.3,229,0.532,16.9,53,170,0.5,85,19.6,,2.2,0.12,Alex Condon
6.9,23,4.4,25,2.9,sec,2,16.8,85,0.6,0.5,120,0.45,54,0.383,46,0.457,21,36,2,,530,0.9,9.2,47,0.8,70,13.5,thomas-haugh-1,141,152,Forward,1.1,11,FLORIDA,0.392,47,0.255,12,13,132,0.497,9.6,15,73,0.575,42,13.5,,1.4,0.103,Thomas Haugh
6.9,23,4.4,25,2.9,sec,2,16.8,85,0.6,0.5,120,0.45,54,0.383,46,0.457,21,36,2,,530,0.9,9.2,47,0.8,70,13.5,thomas-haugh-1,141,152,Forward,1.1,11,FLORIDA,0.392,47,0.255,12,13,132,0.497,9.6,15,73,0.575,42,13.5,,1.4,0.103,Thomas Haugh
10.7,2,0,0,-4.1,sec,-0.7,7.8,3,0,0.438,16,0.438,7,0.563,9,0.556,5,12,0,,41,-3.4,2.8,1,0,5,11,denzel-aberdeen-1,19,18,Guard,0,0,FLORIDA,0.313,5,0,0,5.3,4,0.469,9,2,11,0.636,7,27.8,,0.1,0.056,Denzel Aberdeen
10.7,2,0,0,-4.1,sec,-0.7,7.8,3,0,0.438,16,0.438,7,0.563,9,0.556,5,12,0,,41,-3.4,2.8,1,0,5,11,denzel-aberdeen-1,19,18,Guard,0,0,FLORIDA,0.313,5,0,0,5.3,4,0.469,9,2,11,0.636,7,27.8,,0.1,0.056,Denzel Aberdeen
2,5,9.6,45,2.8,sec,3.2,25.5,108,1.1,0.617,115,0.617,71,0.409,47,0.489,23,35,12,,483,-0.4,16.2,66,0.7,76,20.4,rueben-chinyelu-1,165,170,Center,0.9,7,FLORIDA,0,0,,0,21,174,0.601,21.2,37,115,0.617,71,18.6,,1.9,0.154,Rueben Chinyelu
2,5,9.6,45,2.8,sec,3.2,25.5,108,1.1,0.617,115,0.617,71,0.409,47,0.489,23,35,12,,483,-0.4,16.2,66,0.7,76,20.4,rueben-chinyelu-1,165,170,Center,0.9,7,FLORIDA,0,0,,0,21,174,0.601,21.2,37,115,0.617,71,18.6,,1.9,0.154,Rueben Chinyelu
13.9,26,5.8,19,-2.4,sec,-1.3,22.4,76,0.6,0.571,119,0.521,62,0.353,42,0.571,24,32,0,,379,-1.1,14.6,47,1,52,22,sam-alexis-1,160,171,Forward,1.2,8,FLORIDA,0.277,33,0.364,12,18.6,123,0.576,16.3,27,86,0.581,50,22.4,,1.5,0.162,Sam Alexis
13.9,26,5.8,19,-2.4,sec,-1.3,22.4,76,0.6,0.571,119,0.521,62,0.353,42,0.571,24,32,0,,379,-1.1,14.6,47,1,52,22,sam-alexis-1,160,171,Forward,1.2,8,FLORIDA,0.277,33,0.364,12,18.6,123,0.576,16.3,27,86,0.581,50,22.4,,1.5,0.162,Sam Alexis
