,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
MOUNT-ST-MARYS,MOUNT-ST-MARYS,60.7,510,8,9,8.2,95,maac,8,12,930,0.514,1899,0.442,840,0.316,601,0.734,441,0.232,,4,10,12,1380,Mount St. Mary's,,102.0,31.5,351,52.4,441,9.4,105,762,0.476,2069,0.406,841,0.266,551,0.735,405,0.196,,28.4,369,551,2373,13.0,304,0.443,917,0.312,286,1152,0.482,555,46.9,1131,0.509,14.1,381,68.0,537,2392,-7.83,8.9,209,-7.31,0.41,778,0.348,271,1121,0.508,569,53.1,1281,0.547,19.1,515,0.647,22
NEW-MEXICO,NEW-MEXICO,52.2,500,4,7,14.2,169,mwc,3,17,893,0.515,2087,0.459,957,0.372,776,0.687,533,0.255,,1,16,7,1330,New Mexico,,110.2,31.9,404,58.8,484,9.6,135,861,0.493,1920,0.429,823,0.345,663,0.665,441,0.23,,25.5,305,636,2335,9.4,229,0.381,732,0.339,248,1188,0.484,575,47.3,1166,0.522,18.5,506,73.2,579,2681,14.97,12.0,293,5.78,0.323,674,0.347,234,1413,0.512,723,52.7,1297,0.546,13.3,377,0.788,26
NORFOLK-STATE,NORFOLK-STATE,50.3,473,9,8,9.1,103,meac,3,11,836,0.537,1922,0.489,940,0.388,746,0.756,564,0.293,,1,11,10,1370,Norfolk State,,112.4,32.6,344,58.1,465,8.7,119,711,0.483,1939,0.413,801,0.345,669,0.704,471,0.243,,31.6,386,616,2345,10.0,233,0.418,811,0.335,272,1128,0.469,529,48.2,1097,0.52,16.6,449,68.2,598,2627,-3.62,10.1,236,-7.49,0.288,553,0.331,183,1369,0.553,757,51.8,1180,0.577,15.6,421,0.706,24
NORTH-CAROLINA,NORTH-CAROLINA,51.2,530,6,6,9.6,132,acc,7,13,970,0.545,2167,0.478,1035,0.35,759,0.742,563,0.26,,3,12,13,1450,North Carolina,,114.0,29.3,353,47.5,454,10.6,144,850,0.495,2217,0.431,956,0.302,670,0.743,498,0.225,,27.0,358,621,2692,8.7,222,0.382,846,0.333,282,1371,0.492,674,47.7,1208,0.531,13.3,389,70.7,606,2923,17.79,8.3,212,11.38,0.371,805,0.36,290,1362,0.547,745,52.3,1323,0.578,13.3,388,0.639,23
OKLAHOMA,OKLAHOMA,52.0,452,7,2,6.8,76,sec,12,6,783,0.549,1841,0.472,869,0.396,729,0.794,579,0.315,,5,12,13,1320,Oklahoma,,112.6,26.5,275,47.3,407,10.4,111,764,0.511,1927,0.447,861,0.358,689,0.729,502,0.261,,31.7,363,601,2470,10.3,239,0.419,807,0.305,246,1120,0.549,615,51.6,1127,0.548,15.7,419,70.0,611,2602,15.43,11.2,258,11.43,0.419,771,0.37,285,1070,0.546,584,48.4,1058,0.595,15.4,399,0.606,20
NEBRASKA-OMAHA,NEBRASKA-OMAHA,49.3,455,9,7,7.5,82,summit,3,13,873,0.537,1981,0.466,923,0.366,725,0.724,525,0.265,,2,11,12,1360,Omaha,,112.7,29.1,336,50.6,440,8.1,98,819,0.524,1943,0.448,870,0.371,720,0.715,515,0.265,,25.1,293,628,2551,8.5,199,0.44,855,0.346,296,1088,0.528,574,47.9,1112,0.558,13.4,355,69.2,624,2654,-1.11,8.6,203,-2.89,0.39,772,0.367,283,1209,0.529,640,52.1,1209,0.571,13.8,372,0.647,22
OREGON,OREGON,54.4,481,4,7,10.1,125,big-ten,8,12,836,0.522,1935,0.457,884,0.334,646,0.763,493,0.255,,4,12,9,1335,Oregon,,109.9,30.6,337,50.3,430,8.8,104,766,0.491,1982,0.431,855,0.277,549,0.721,396,0.2,,29.2,345,589,2341,8.7,200,0.374,741,0.317,235,1241,0.5,620,48.6,1111,0.522,15.3,404,68.6,541,2515,17.45,10.3,236,12.18,0.386,747,0.34,254,1188,0.53,630,51.4,1173,0.561,14.2,372,0.727,24
PURDUE,PURDUE,57.7,527,6,5,5.3,56,big-ten,7,13,754,0.563,1863,0.49,913,0.346,645,0.73,471,0.253,,2,14,11,1320,Purdue,,117.0,31.0,314,58.0,489,8.8,101,700,0.52,1854,0.455,843,0.31,574,0.726,417,0.225,,29.9,321,590,2346,8.8,194,0.427,791,0.307,243,1063,0.564,600,48.9,1021,0.552,15.5,391,66.6,531,2570,20.7,9.8,216,13.91,0.381,710,0.385,273,1153,0.555,640,51.1,1068,0.592,13.6,342,0.667,22
ROBERT-MORRIS,ROBERT-MORRIS,60.5,545,6,8,12.1,154,horizon,5,15,848,0.515,2000,0.451,901,0.384,767,0.722,554,0.277,,2,16,8,1385,Robert Morris,,110.0,35.6,423,50.8,441,9.4,119,766,0.497,1984,0.438,868,0.294,584,0.721,421,0.212,,28.5,338,652,2395,10.2,243,0.357,709,0.336,238,1275,0.494,630,46.5,1104,0.53,16.4,445,68.6,562,2613,-0.03,9.1,217,-5.78,0.367,734,0.35,257,1266,0.509,644,53.5,1271,0.553,15.8,442,0.765,26
SAINT-FRANCIS-PA,SAINT-FRANCIS-PA,53.7,484,13,6,7.3,85,northeast,8,8,865,0.534,1952,0.462,902,0.233,454,0.727,330,0.169,,4,10,18,1385,Saint Francis (PA),,104.0,26.1,290,50.5,444,8.7,98,823,0.498,2037,0.432,880,0.27,550,0.733,403,0.198,,28.6,346,484,2433,11.8,273,0.429,874,0.309,270,1163,0.525,610,50.3,1169,0.529,14.1,376,67.1,516,2415,-12.52,9.1,212,-7.17,0.421,822,0.342,281,1130,0.55,621,49.7,1155,0.557,16.9,440,0.471,16
