,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2025-26,22.1,4.0,0.0,0.0,6.8,big-12,5.1,6.8,2.0,0.1,0.667,6.0,0.667,4.0,0.833,5.0,0.4,2.0,17.0,0.0,,29.0,1.7,4.1,1.0,0.1,3.0,16.2,sven-djopmo-1,10.0,11.0,Guard,1.9,1.0,ARIZONA,0.333,2.0,0.0,0.0,5.6,3.0,0.597,10.7,1.0,4.0,1.0,4.0,15.4,,0.1,0.17,Sven Djopmo
2025-26,14.4,4.0,2.6,1.0,-5.6,big-12,2.3,15.2,6.0,0.1,0.182,11.0,0.182,2.0,0.182,2.0,1.0,2.0,18.0,0.0,,39.0,-7.8,6.1,2.0,-0.1,8.0,0.7,addison-arnold-1,6.0,9.0,Guard,0.0,0.0,ARIZONA,0.182,2.0,0.0,0.0,11.1,8.0,0.251,14.3,2.0,9.0,0.222,2.0,17.1,,0.0,0.023,Addison Arnold
2025-26,0.0,0.0,0.0,0.0,-6.7,big-12,2.3,16.4,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,0.0,8.0,0.0,,12.0,-9.0,20.0,2.0,0.0,5.0,8.2,jackson-francois-1,4.0,4.0,Guard,0.0,0.0,ARIZONA,0.0,0.0,,0.0,18.0,4.0,1.0,50.0,2.0,2.0,1.0,2.0,15.9,,0.0,0.081,Jackson Francois
2025-26,0.0,0.0,0.0,0.0,-12.2,big-12,-0.7,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,8.0,0.0,,11.0,-11.5,0.0,0.0,0.0,1.0,-9.2,jackson-cook-1,0.0,0.0,Guard,0.0,0.0,ARIZONA,1.0,2.0,0.0,0.0,4.9,1.0,0.0,0.0,0.0,0.0,,0.0,10.7,,0.0,-0.08,Jackson Cook
2025-26,18.3,109.0,5.0,45.0,16.8,big-ten,7.4,16.5,165.0,2.5,0.586,308.0,0.506,156.0,0.451,139.0,0.82,114.0,33.0,32.0,,992.0,9.4,8.7,67.0,4.0,53.0,25.2,yaxel-lendeborg-1,475.0,491.0,Forward,2.3,41.0,MICHIGAN,0.464,143.0,0.343,49.0,13.2,232.0,0.635,9.0,37.0,165.0,0.648,107.0,20.0,,6.5,0.262,Yaxel Lendeborg
2025-26,8.5,39.0,5.0,38.0,12.4,big-ten,5.8,19.2,160.0,2.1,0.65,264.0,0.629,166.0,0.462,122.0,0.787,96.0,33.0,33.0,,828.0,6.6,12.7,81.0,3.1,76.0,25.8,morez-johnson-jr-1,439.0,410.0,Forward,1.7,25.0,MICHIGAN,0.106,28.0,0.393,11.0,16.4,241.0,0.682,11.8,43.0,236.0,0.657,155.0,21.3,,5.2,0.252,Morez Johnson Jr.
2025-26,18.4,77.0,12.6,87.0,14.0,big-ten,8.6,21.3,162.0,2.1,0.674,233.0,0.67,156.0,0.541,126.0,0.54,68.0,33.0,32.0,,758.0,5.4,11.4,67.0,2.1,76.0,25.9,aday-mara-2,382.0,381.0,Center,0.8,11.0,MICHIGAN,0.034,8.0,0.25,2.0,17.0,229.0,0.652,18.2,65.0,225.0,0.684,154.0,22.8,,4.2,0.223,Aday Mara
2025-26,33.0,179.0,0.5,4.0,6.8,big-ten,3.5,8.9,77.0,1.6,0.525,255.0,0.424,108.0,0.373,95.0,0.716,68.0,33.0,33.0,,859.0,3.3,1.4,9.0,1.6,70.0,14.5,elliot-cadeau-1,336.0,394.0,Guard,1.6,24.0,MICHIGAN,0.537,137.0,0.38,52.0,5.6,86.0,0.56,21.0,80.0,118.0,0.475,56.0,21.4,,3.2,0.151,Elliot Cadeau
2025-26,6.4,28.0,0.2,1.0,7.6,big-ten,3.8,10.0,71.0,1.3,0.578,223.0,0.453,101.0,0.3,67.0,0.91,61.0,33.0,0.0,,708.0,3.9,2.2,12.0,1.7,43.0,14.9,trey-mckenney-1,319.0,271.0,Guard,1.1,14.0,MICHIGAN,0.659,147.0,0.381,56.0,6.6,83.0,0.626,10.2,29.0,76.0,0.592,45.0,19.4,,2.9,0.166,Trey McKenney
2025-26,10.1,39.0,0.3,2.0,7.7,big-ten,4.2,9.7,62.0,1.2,0.573,206.0,0.451,93.0,0.199,41.0,0.805,33.0,33.0,33.0,,633.0,3.5,3.3,16.0,1.5,48.0,15.1,nimari-burnett-1,269.0,240.0,Guard,1.5,17.0,MICHIGAN,0.646,133.0,0.376,50.0,6.9,78.0,0.597,8.5,21.0,73.0,0.589,43.0,18.8,,2.7,0.168,Nimari Burnett
2025-26,21.0,66.0,0.0,0.0,8.6,big-ten,5.0,8.8,46.0,1.1,0.606,161.0,0.503,81.0,0.342,55.0,0.709,39.0,28.0,0.0,,521.0,3.6,1.5,6.0,0.9,24.0,16.5,lj-cason-1,234.0,227.0,Guard,2.8,26.0,MICHIGAN,0.509,82.0,0.402,33.0,5.6,52.0,0.625,20.4,48.0,79.0,0.608,48.0,21.8,,2.0,0.155,L.J. Cason
2025-26,10.7,45.0,2.1,13.0,6.4,big-ten,5.5,12.0,80.0,1.5,0.492,178.0,0.455,81.0,0.399,71.0,0.775,55.0,32.0,1.0,,662.0,1.0,5.3,27.0,0.7,50.0,13.1,roddy-gayle-jr-1,230.0,232.0,Guard,2.2,26.0,MICHIGAN,0.281,50.0,0.26,13.0,9.1,107.0,0.543,17.2,44.0,128.0,0.531,68.0,18.7,,2.2,0.131,Roddy Gayle Jr.
