,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,team
2022-23,5.4,11.0,4.2,13.0,2.6,acc,3.7,16.1,53.0,0.8,0.493,73.0,0.493,36.0,0.603,44.0,0.773,34.0,,,,363.0,-1.2,12.8,36.0,0.8,66.0,16.7,ben-middlebrooks-1,106.0,122.0,Forward,2.9,18.0,clemson,0.082,6.0,0.0,0.0,14.6,89.0,0.564,15.3,17.0,67.0,0.537,36.0,16.2,,1.5,0.169,Ben Middlebrooks,Wake Forest
2022-23,7.2,11.0,6.1,15.0,2.1,acc,3.5,16.6,44.0,0.6,0.61,68.0,0.588,40.0,0.382,26.0,0.654,17.0,,,,291.0,-1.4,8.9,20.0,0.4,48.0,16.1,rj-godfrey-1,100.0,100.0,Forward,1.6,8.0,clemson,0.132,9.0,0.333,3.0,13.1,64.0,0.622,22.3,23.0,59.0,0.627,37.0,18.9,,1.0,0.136,RJ Godfrey,Wake Forest
2022-23,11.7,28.0,1.7,6.0,-3.3,acc,2.2,8.1,30.0,0.6,0.396,82.0,0.366,30.0,0.134,11.0,0.636,7.0,,,,406.0,-5.5,0.6,2.0,-0.5,50.0,2.7,josh-beadle-1,72.0,79.0,Guard,1.3,9.0,clemson,0.317,26.0,0.192,5.0,4.7,32.0,0.413,25.6,30.0,56.0,0.446,25.0,15.3,,0.0,0.005,Joshua Beadle,Wake Forest
2022-23,7.8,10.0,1.5,3.0,3.3,acc,1.8,9.7,20.0,0.3,0.59,50.0,0.46,23.0,0.06,3.0,0.667,2.0,,,,228.0,1.5,1.1,2.0,0.3,13.0,11.5,chauncey-wiggins-1,61.0,55.0,Forward,1.0,4.0,clemson,0.62,31.0,0.419,13.0,5.7,22.0,0.593,8.9,5.0,19.0,0.526,10.0,13.1,,0.6,0.11,Chauncey Wiggins,Wake Forest
2022-23,16.8,38.0,0.3,1.0,-1.7,acc,3.1,9.9,33.0,0.5,0.321,53.0,0.302,16.0,0.283,15.0,0.6,9.0,,,,366.0,-4.8,1.4,4.0,-0.3,31.0,4.4,dillon-hunter-1,43.0,63.0,Guard,2.1,13.0,clemson,0.358,19.0,0.105,2.0,6.0,37.0,0.358,26.8,22.0,34.0,0.412,14.0,11.9,,0.3,0.029,Dillon Hunter,Wake Forest
2022-23,37.9,1.0,0.0,0.0,24.7,acc,14.8,15.7,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,,0.0,,,,7.0,9.9,0.0,0.0,0.1,0.0,45.7,matt-kelly-1,4.0,3.0,Guard,8.4,1.0,clemson,0.0,0.0,,0.0,8.5,1.0,1.0,0.0,0.0,2.0,1.0,2.0,15.2,,0.1,0.411,Matt Kelly,Wake Forest
2022-23,30.3,1.0,14.7,1.0,17.8,acc,15.0,41.3,3.0,0.0,0.667,3.0,0.667,2.0,0.0,0.0,,0.0,,,,8.0,2.7,16.1,1.0,0.0,2.0,37.8,daniel-nauseef-1,4.0,4.0,Forward,7.3,1.0,clemson,0.0,0.0,,0.0,29.7,4.0,0.667,25.0,1.0,3.0,0.667,2.0,26.5,,0.1,0.304,Daniel Nauseef,Wake Forest
2022-23,50.3,2.0,0.0,0.0,-7.9,acc,-1.5,18.3,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.5,1.0,,,,6.0,-6.5,0.0,0.0,0.0,0.0,6.2,jack-nauseef-1,1.0,2.0,Guard,0.0,0.0,clemson,1.0,2.0,0.0,0.0,9.9,1.0,0.169,0.0,0.0,0.0,,0.0,26.1,,0.0,-0.026,Jack Nauseef,Wake Forest
2022-23,0.0,0.0,0.0,0.0,-29.8,acc,-7.3,13.8,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,8.0,-22.6,0.0,0.0,-0.1,0.0,-22.8,devin-foster-2,0.0,0.0,Guard,0.0,0.0,clemson,1.0,2.0,0.0,0.0,7.4,1.0,0.0,25.3,1.0,0.0,,0.0,26.2,,-0.1,-0.379,Devin Foster,Wake Forest
2022-23,10.9,47.0,3.0,26.0,7.2,acc,3.1,24.4,200.0,2.2,0.478,380.0,0.434,165.0,0.418,159.0,0.78,124.0,,,,917.0,4.1,11.0,85.0,2.1,80.0,23.5,kyle-filipowski-1,487.0,465.0,Center,2.5,38.0,duke,0.292,111.0,0.297,33.0,17.9,285.0,0.535,15.3,82.0,269.0,0.491,132.0,30.0,,4.3,0.187,Kyle Filipowski,Wake Forest
