player_unique,composite,player_name,ranking,autodraft,player_modifier,team_modifier,team_name,team_games_played,diff,sn_projected,kenpom_projected,538_projected,points_per_team_game,points,538_32,538_16,538_8,538_4,538_2,538_1,sn_32,sn_16,sn_8,sn_4,sn_2,sn_1,kenpom_32,kenpom_16,kenpom_8,kenpom_4,kenpom_2,kenpom_1,seed,region,overall_seed,wins,losses,games_played,conference_wins,conference_losses
cason-wallace-1,#N/A,Cason Wallace,114,216.875,1,#N/A,Kentucky,#N/A,#N/A,#N/A,0,0,#N/A,347,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,EAST,23,21,11,32,12,6
tyrese-proctor-1,#N/A,Tyrese Proctor,115,216.5625,1,#N/A,Duke,#N/A,#N/A,#N/A,0,0,#N/A,315,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,EAST,18,26,8,34,14,6
boogie-ellis-1,#N/A,Boogie Ellis,116,216.375,1,#N/A,Southern California,#N/A,#N/A,#N/A,0,0,#N/A,577,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,EAST,39,22,10,32,14,6
mark-mitchell-4,#N/A,Mark Mitchell,117,213.125,1,#N/A,Duke,#N/A,#N/A,#N/A,0,0,#N/A,310,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,EAST,18,26,8,34,14,6
anthony-black-1,#N/A,Anthony Black,118,212,1,#N/A,Arkansas,#N/A,#N/A,#N/A,0,0,#N/A,424,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,WEST,30,20,13,33,8,10
damion-baugh-1,#N/A,Damion Baugh,119,211.875,1,#N/A,TCU,#N/A,#N/A,#N/A,0,0,#N/A,339,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,WEST,24,21,12,33,9,9
darrion-trammell-1,#N/A,Darrion Trammell,120,209,1,#N/A,San Diego State,#N/A,#N/A,#N/A,0,0,#N/A,304,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,SOUTH,17,27,6,33,15,3
stevie-mitchell-1,#N/A,Stevie Mitchell,121,208.25,1,#N/A,Marquette,#N/A,#N/A,#N/A,0,0,#N/A,238,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,EAST,8,28,6,34,17,3
steven-ashworth-1,#N/A,Steven Ashworth,122,208.125,1,#N/A,Utah State,#N/A,#N/A,#N/A,0,0,#N/A,555,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,SOUTH,40,26,8,34,13,5
jerome-hunter-2,#N/A,Jerome Hunter,123,200.6875,1,#N/A,Xavier,#N/A,#N/A,#N/A,0,0,#N/A,247,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,MIDWEST,12,25,9,34,15,5
deandre-gholston-1,#N/A,DeAndre Gholston,124,198,1,#N/A,Missouri,#N/A,#N/A,#N/A,0,0,#N/A,352,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,SOUTH,27,24,9,33,11,7
julian-phillips-1,#N/A,Julian Phillips,125,195.75,1,#N/A,Tennessee,#N/A,#N/A,#N/A,0,0,#N/A,261,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,EAST,14,23,10,33,11,7
miller-kopp-1,#N/A,Miller Kopp,126,195.75,1,#N/A,Indiana,#N/A,#N/A,#N/A,0,0,#N/A,261,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,MIDWEST,15,22,11,33,12,8
lamont-butler-1,#N/A,Lamont Butler,127,193.875,1,#N/A,San Diego State,#N/A,#N/A,#N/A,0,0,#N/A,282,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,SOUTH,17,27,6,33,15,3
wendell-greenjr-1,#N/A,Wendell Green Jr.,128,193.8125,1,#N/A,Auburn,#N/A,#N/A,#N/A,0,0,#N/A,443,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,MIDWEST,35,20,12,32,10,8
tony-perkins-1,#N/A,Tony Perkins,129,193.5,1,#N/A,Iowa,#N/A,#N/A,#N/A,0,0,#N/A,387,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8,MIDWEST,32,19,13,32,11,9
brandon-newman-2,#N/A,Brandon Newman,130,191.25,1,#N/A,Purdue,#N/A,#N/A,#N/A,0,0,#N/A,204,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,EAST,4,28,5,33,15,5
