,abbreviation,assist_percentage,assists,away_losses,away_wins,block_percentage,blocks,conference,conference_losses,conference_wins,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,free_throws_per_field_goal_attempt,games_played,home_losses,home_wins,losses,minutes_played,name,net_rating,offensive_rating,offensive_rebound_percentage,offensive_rebounds,opp_assist_percentage,opp_assists,opp_block_percentage,opp_blocks,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempt_rate,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steal_percentage,opp_steals,opp_three_point_attempt_rate,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,opp_total_rebound_percentage,opp_total_rebounds,opp_true_shooting_percentage,opp_turnover_percentage,opp_turnovers,pace,personal_fouls,points,simple_rating_system,steal_percentage,steals,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,win_percentage,wins
CREIGHTON,CREIGHTON,57.8,525,6,5,9.5,138,big-east,6,14,948,0.543,1943,0.467,908,0.281,546,0.767,419,0.216,33,2,13,12,1330,Creighton,,109.5,25.5,279,47.1,412,8.3,94,815,0.473,2074,0.422,875,0.198,410,0.729,299,0.144,,23.3,288,523,2260,8.8,204,0.298,618,0.341,211,1456,0.456,664,47.3,1103,0.498,12.7,330,69.4,434,2529,17.69,7.5,173,9.54,0.42,817,0.36,294,1126,0.545,614,52.7,1227,0.574,14.8,384,0.636,21
DRAKE,DRAKE,49.8,463,6,6,7.4,89,mvc,5,15,939,0.539,1977,0.47,930,0.283,559,0.769,430,0.218,34,1,14,7,1390,Drake,,110.1,24.8,276,43.8,348,6.3,79,836,0.467,1945,0.408,794,0.263,512,0.699,358,0.184,,22.3,269,575,2173,7.6,178,0.381,742,0.306,227,1203,0.471,567,47.6,1105,0.497,15.8,412,67.0,503,2561,8.34,7.9,183,-1.12,0.368,727,0.373,271,1250,0.527,659,52.4,1215,0.571,13.7,356,0.794,27
DUKE,DUKE,56.9,503,6,4,12.0,153,acc,6,14,903,0.511,1959,0.451,884,0.308,604,0.77,465,0.237,34,0,16,8,1365,Duke,,110.0,36.2,413,47.9,384,9.6,122,727,0.463,1959,0.409,802,0.241,472,0.765,361,0.184,,25.8,314,569,2174,9.3,209,0.351,688,0.304,209,1271,0.467,593,44.2,1041,0.498,14.6,373,65.7,517,2466,15.61,8.7,194,7.03,0.354,693,0.336,233,1266,0.514,651,55.8,1316,0.549,15.4,409,0.765,26
FAIRLEIGH-DICKINSON,FAIRLEIGH-DICKINSON,52.4,509,9,8,5.8,66,northeast,6,10,764,0.52,2133,0.455,971,0.27,575,0.746,429,0.201,34,5,10,15,1375,Fairleigh Dickinson,,110.1,32.3,398,56.0,503,9.9,132,833,0.551,1875,0.479,898,0.343,644,0.744,479,0.255,,28.5,304,538,2547,8.1,194,0.398,746,0.365,272,1129,0.554,626,49.5,1137,0.584,19.6,530,69.9,647,2646,-11.4,11.4,273,-11.72,0.373,795,0.346,275,1338,0.52,696,50.5,1162,0.55,14.0,391,0.559,19
FLORIDA-ATLANTIC,FLORIDA-ATLANTIC,51.8,497,3,11,6.5,84,cusa,2,18,957,0.554,2034,0.472,960,0.293,596,0.716,427,0.21,34,0,17,3,1370,Florida Atlantic,,113.4,30.7,358,33.1,264,6.9,79,809,0.457,1983,0.402,798,0.267,529,0.747,395,0.199,,24.1,304,568,2209,8.2,193,0.345,684,0.319,218,1299,0.446,580,45.8,1113,0.494,16.3,436,69.0,539,2679,13.39,9.8,231,0.51,0.439,893,0.372,332,1141,0.55,628,54.2,1315,0.578,14.7,400,0.912,31
FURMAN,FURMAN,59.4,581,3,8,8.5,109,southern,3,15,870,0.564,2023,0.483,978,0.341,690,0.741,511,0.253,34,2,14,7,1375,Furman,,116.5,29.5,337,43.8,387,8.2,89,805,0.505,1982,0.446,884,0.3,594,0.705,419,0.211,,26.8,319,586,2421,8.1,195,0.354,701,0.334,234,1281,0.507,650,48.2,1124,0.535,16.6,452,69.7,570,2791,5.11,9.6,231,-3.9,0.462,934,0.347,324,1089,0.601,654,51.8,1207,0.594,13.9,379,0.794,27
GONZAGA,GONZAGA,50.8,547,2,7,9.2,110,wcc,2,14,868,0.592,2035,0.529,1076,0.337,685,0.701,480,0.236,33,1,15,5,1325,Gonzaga,,121.4,31.3,336,45.2,396,5.4,74,739,0.512,1975,0.444,877,0.263,520,0.735,382,0.193,,25.5,297,627,2406,7.3,174,0.394,779,0.347,270,1196,0.508,607,46.3,1036,0.541,17.1,459,71.8,554,2888,20.16,10.6,252,7.53,0.325,661,0.387,256,1374,0.597,820,53.8,1204,0.612,12.9,349,0.848,28
GRAND-CANYON,GRAND-CANYON,48.7,441,5,5,8.4,115,wac,7,10,935,0.544,1953,0.463,905,0.366,715,0.716,512,0.262,35,4,14,11,1410,Grand Canyon,,111.8,31.2,357,43.3,361,7.8,88,787,0.457,2056,0.405,833,0.32,657,0.7,460,0.224,,29.2,385,627,2339,8.3,195,0.33,679,0.314,213,1377,0.45,620,47.6,1172,0.494,13.7,375,66.9,632,2636,4.64,7.3,172,1.02,0.419,819,0.383,314,1134,0.521,591,52.4,1292,0.575,15.6,423,0.686,24
HOUSTON,HOUSTON,53.8,493,0,11,16.7,158,aac,1,17,864,0.532,1964,0.466,916,0.28,549,0.721,396,0.202,33,2,16,2,1320,Houston,,116.3,36.7,413,54.2,331,6.6,81,711,0.421,1698,0.36,611,0.356,605,0.689,417,0.246,,27.3,324,531,1846,8.5,181,0.444,754,0.275,207,944,0.428,404,44.8,1035,0.465,19.3,474,64.8,544,2486,23.83,13.0,278,4.44,0.377,741,0.348,258,1223,0.538,658,55.2,1277,0.559,12.8,328,0.939,31
HOWARD,HOWARD,55.6,505,8,6,8.8,108,meac,3,11,823,0.53,1971,0.461,908,0.339,669,0.714,478,0.243,34,2,12,12,1365,Howard,,104.9,34.3,394,47.0,406,8.2,103,756,0.505,1954,0.442,864,0.355,693,0.684,474,0.243,,30.9,368,604,2446,12.1,295,0.369,721,0.338,244,1233,0.503,620,48.0,1124,0.536,18.8,528,71.7,600,2566,-4.76,10.0,244,-5.76,0.366,722,0.377,272,1249,0.509,636,52.0,1217,0.561,19.5,555,0.647,22
ILLINOIS,ILLINOIS,46.7,399,7,3,14.0,181,big-ten,9,11,851,0.516,1894,0.451,854,0.338,641,0.68,436,0.23,32,2,15,12,1295,Illinois,,106.5,32.3,363,44.7,349,8.1,89,761,0.469,1871,0.417,780,0.296,554,0.702,389,0.208,,26.8,311,585,2143,9.6,216,0.309,578,0.336,194,1293,0.453,586,46.9,1072,0.502,16.4,418,69.3,540,2389,15.36,9.8,219,7.67,0.419,793,0.309,245,1101,0.553,609,53.1,1214,0.543,15.7,409,0.625,20
INDIANA,INDIANA,54.2,509,7,5,13.6,163,big-ten,8,12,881,0.538,1919,0.489,939,0.301,577,0.712,411,0.214,33,2,15,11,1325,Indiana,,109.2,28.0,299,48.1,383,7.4,104,769,0.473,1945,0.409,796,0.306,596,0.705,420,0.216,,27.8,340,536,2259,9.5,216,0.382,743,0.332,247,1202,0.457,549,48.4,1109,0.507,14.2,370,68.5,572,2476,15.64,8.4,190,9.07,0.263,505,0.37,187,1414,0.532,752,51.6,1180,0.565,14.9,383,0.667,22
IONA,IONA,53.4,511,4,8,14.9,189,maac,3,17,834,0.518,2078,0.461,957,0.29,603,0.731,441,0.212,34,1,11,7,1365,Iona,,110.5,32.0,382,50.6,402,6.5,92,812,0.459,1943,0.409,794,0.312,607,0.702,426,0.219,,30.5,366,549,2210,7.8,183,0.345,671,0.292,196,1272,0.47,598,49.2,1178,0.495,18.1,494,68.9,555,2597,7.96,10.8,254,-3.42,0.321,667,0.36,240,1411,0.508,717,50.8,1216,0.549,13.2,361,0.794,27
IOWA,IOWA,58.1,530,7,4,8.5,110,big-ten,9,11,779,0.519,2009,0.454,913,0.326,654,0.739,483,0.24,32,3,14,13,1295,Iowa,,113.9,32.2,384,51.0,464,8.8,110,810,0.533,1919,0.474,910,0.234,450,0.744,335,0.175,,27.6,297,580,2381,8.1,183,0.322,618,0.366,226,1301,0.526,684,48.8,1107,0.558,16.4,417,69.6,470,2567,14.62,9.4,212,8.81,0.374,752,0.343,258,1257,0.521,655,51.2,1163,0.553,12.0,317,0.594,19
IOWA-STATE,IOWA-STATE,54.9,450,8,3,11.2,93,big-12,9,9,710,0.507,1822,0.45,820,0.278,506,0.674,341,0.187,32,3,13,13,1290,Iowa State,,103.2,33.9,364,57.5,378,7.7,93,709,0.501,1557,0.422,657,0.4,623,0.719,448,0.288,,26.6,257,542,2008,10.3,218,0.468,728,0.338,246,829,0.496,411,47.4,966,0.542,22.3,531,65.8,611,2190,16.53,13.3,282,10.84,0.338,616,0.339,209,1206,0.507,611,52.6,1074,0.531,16.9,419,0.594,19
KANSAS,KANSAS,59.5,559,4,7,10.0,128,big-12,5,13,890,0.524,2019,0.466,940,0.298,601,0.717,431,0.213,34,1,15,7,1370,Kansas,,106.2,28.4,331,46.2,380,7.3,97,833,0.471,1978,0.416,823,0.312,618,0.723,447,0.226,,28.3,351,538,2310,8.6,207,0.351,695,0.312,217,1283,0.472,606,49.2,1184,0.508,17.6,486,70.1,563,2548,19.81,12.5,299,12.81,0.341,689,0.344,237,1330,0.529,703,50.8,1221,0.553,15.4,420,0.794,27
KANSAS-STATE,KANSAS-STATE,64.0,536,7,4,7.7,89,big-12,7,11,808,0.515,1848,0.453,838,0.37,683,0.75,512,0.277,32,1,16,9,1300,Kansas State,,105.1,31.1,332,56.1,432,10.6,125,735,0.475,1836,0.419,770,0.367,673,0.692,466,0.254,,29.2,334,595,2209,10.4,239,0.368,675,0.301,203,1161,0.488,567,48.4,1069,0.512,18.0,474,70.7,566,2416,16.31,10.7,246,9.84,0.363,670,0.34,228,1178,0.518,610,51.6,1140,0.556,17.4,459,0.719,23
KENNESAW-STATE,KENNESAW-STATE,54.2,490,6,10,8.2,95,atlantic-sun,3,15,869,0.534,1957,0.462,904,0.363,710,0.662,470,0.24,34,1,15,8,1375,Kennesaw State,,106.8,28.0,327,46.8,383,8.5,102,841,0.495,1905,0.429,818,0.351,668,0.686,458,0.24,,26.4,311,658,2343,9.4,225,0.392,746,0.334,249,1159,0.491,569,49.1,1152,0.527,18.1,492,69.7,610,2559,0.29,11.3,271,-2.62,0.39,764,0.368,281,1193,0.522,623,50.9,1196,0.558,15.6,423,0.765,26
KENT-STATE,KENT-STATE,45.0,421,6,9,12.2,134,mac,3,15,840,0.519,2059,0.454,935,0.313,644,0.725,467,0.227,34,0,15,6,1365,Kent State,,109.4,30.7,367,51.2,383,7.4,94,829,0.466,1858,0.403,748,0.374,695,0.721,501,0.27,,29.7,355,632,2234,7.7,184,0.411,764,0.31,237,1094,0.467,511,49.5,1184,0.51,19.9,544,69.8,647,2605,8.09,12.7,303,-1.29,0.387,797,0.336,268,1262,0.529,667,50.5,1207,0.551,14.1,389,0.824,28
KENTUCKY,KENTUCKY,55.7,490,4,6,10.2,120,sec,6,12,812,0.512,1919,0.459,880,0.325,623,0.703,438,0.228,32,4,14,11,1290,Kentucky,,111.4,38.7,435,47.8,373,5.2,70,688,0.488,1817,0.429,780,0.299,544,0.744,405,0.223,,25.5,278,547,2177,8.8,189,0.352,640,0.331,212,1177,0.483,568,43.7,966,0.524,14.8,361,66.8,516,2402,15.24,9.6,207,8.21,0.301,577,0.354,204,1342,0.504,676,56.3,1247,0.542,14.4,373,0.656,21
LOUISIANA-LAFAYETTE,LOUISIANA-LAFAYETTE,51.4,477,7,7,7.7,102,sun-belt,5,13,844,0.545,1917,0.484,928,0.371,711,0.684,486,0.254,33,0,14,7,1325,Louisiana,,112.2,34.4,370,41.3,346,7.9,103,706,0.493,1898,0.442,838,0.322,612,0.708,433,0.228,,26.0,296,607,2304,9.4,216,0.303,576,0.339,195,1322,0.486,643,45.2,1002,0.526,15.8,410,69.3,558,2575,4.12,10.3,236,-0.92,0.322,617,0.378,233,1300,0.535,695,54.8,1214,0.571,15.1,401,0.788,26
MARQUETTE,MARQUETTE,59.4,598,4,8,8.7,107,big-east,3,17,781,0.56,2066,0.487,1007,0.271,559,0.721,403,0.195,34,1,17,6,1380,Marquette,,113.3,26.5,303,58.6,511,9.6,115,840,0.511,1960,0.445,872,0.29,569,0.698,397,0.203,,32.1,370,517,2400,8.0,192,0.375,735,0.352,259,1225,0.5,613,52.7,1210,0.538,19.7,547,69.6,553,2718,17.28,13.3,320,7.93,0.419,865,0.348,301,1201,0.588,706,47.3,1084,0.583,13.5,365,0.824,28
MARYLAND,MARYLAND,46.3,380,9,2,9.9,121,big-ten,9,11,790,0.511,1826,0.449,820,0.338,617,0.739,456,0.25,33,1,16,12,1325,Maryland,,108.6,30.2,324,48.1,370,9.9,113,750,0.479,1798,0.428,769,0.278,499,0.727,363,0.202,,27.2,295,600,2084,7.1,152,0.317,570,0.321,183,1228,0.477,586,48.4,1045,0.512,16.2,394,64.5,523,2322,15.11,8.3,177,7.9,0.375,684,0.33,226,1142,0.52,594,51.6,1114,0.548,14.1,347,0.636,21
MEMPHIS,MEMPHIS,55.0,524,5,7,13.5,153,aac,5,13,842,0.531,1985,0.48,952,0.358,710,0.748,531,0.268,33,2,13,8,1335,Memphis,,108.6,31.0,342,55.7,447,9.6,135,761,0.471,1985,0.405,803,0.347,688,0.741,510,0.257,,31.8,392,617,2381,10.1,246,0.43,854,0.31,265,1131,0.476,538,49.3,1153,0.515,18.1,512,72.8,607,2638,14.43,12.0,291,6.64,0.29,575,0.353,203,1410,0.531,749,50.7,1184,0.568,16.2,448,0.758,25
MIAMI-FL,MIAMI-FL,51.6,478,4,7,8.8,105,acc,5,15,775,0.55,1908,0.486,927,0.3,572,0.776,444,0.233,32,1,16,7,1285,Miami (FL),,114.7,32.0,331,53.3,459,8.4,105,704,0.513,1915,0.45,861,0.241,462,0.745,344,0.18,,29.0,317,482,2308,8.6,191,0.377,721,0.336,242,1194,0.518,619,48.0,1021,0.541,15.8,402,69.0,461,2541,12.44,10.6,235,5.16,0.346,661,0.368,243,1247,0.549,684,52.0,1106,0.583,14.3,363,0.781,25
MICHIGAN-STATE,MICHIGAN-STATE,57.6,460,7,5,8.2,90,big-ten,8,11,830,0.516,1773,0.45,798,0.258,458,0.762,349,0.197,31,2,12,12,1255,Michigan State,,106.0,27.4,276,52.5,395,9.4,112,732,0.48,1790,0.42,752,0.286,512,0.721,369,0.206,,25.2,280,496,2089,8.7,178,0.383,686,0.315,216,1104,0.486,536,47.8,1012,0.514,12.9,301,65.4,512,2177,14.07,6.9,142,11.23,0.331,587,0.395,232,1186,0.477,566,52.2,1106,0.547,14.5,337,0.613,19
MISSISSIPPI-STATE,MISSISSIPPI-STATE,59.1,468,6,4,11.2,113,sec,10,8,817,0.469,1873,0.423,792,0.346,648,0.647,419,0.224,33,4,12,12,1340,Mississippi State,,99.9,35.2,422,58.6,414,8.0,98,776,0.462,1795,0.394,707,0.276,495,0.719,356,0.198,,29.0,334,570,2013,9.5,207,0.44,790,0.308,243,1005,0.462,464,47.3,1110,0.496,19.1,479,65.0,499,2175,12.04,13.4,292,7.13,0.345,646,0.266,172,1227,0.505,620,52.7,1239,0.499,16.1,420,0.636,21
MISSOURI,MISSOURI,56.8,532,5,5,8.5,89,sec,7,11,702,0.551,1978,0.473,936,0.295,583,0.758,442,0.223,33,3,16,9,1330,Missouri,,112.3,26.8,299,57.7,482,6.7,75,815,0.523,1877,0.445,836,0.352,660,0.752,496,0.264,,37.3,418,550,2461,9.0,209,0.441,827,0.354,293,1050,0.517,543,55.2,1233,0.562,20.6,568,70.2,598,2623,12.19,14.6,341,7.28,0.433,857,0.361,309,1121,0.559,627,44.8,1001,0.582,14.2,373,0.727,24
MONTANA-STATE,MONTANA-STATE,49.6,424,5,10,8.5,101,big-sky,3,15,844,0.526,1822,0.469,854,0.437,797,0.759,605,0.332,34,1,12,9,1370,Montana State,,108.5,26.6,283,38.4,301,5.6,67,779,0.487,1830,0.428,783,0.351,642,0.749,481,0.263,,24.0,266,700,2265,8.0,187,0.349,639,0.341,218,1191,0.474,565,48.1,1045,0.53,17.9,465,67.9,628,2523,2.4,9.5,221,-1.7,0.341,621,0.338,210,1201,0.536,644,51.9,1127,0.573,15.3,399,0.735,25
NORTH-CAROLINA-STATE,NORTH-CAROLINA-STATE,45.0,431,6,4,12.1,151,acc,8,12,833,0.518,2117,0.453,958,0.253,536,0.72,386,0.182,33,2,15,10,1325,NC State,,111.5,30.7,376,45.4,378,6.7,88,850,0.498,1875,0.444,833,0.34,638,0.734,468,0.25,,26.5,301,520,2336,7.3,169,0.335,628,0.322,202,1247,0.506,631,48.8,1151,0.536,16.8,441,69.9,574,2580,12.63,11.3,262,5.23,0.376,796,0.349,278,1321,0.515,680,51.2,1209,0.544,11.7,314,0.697,23
NEVADA,NEVADA,58.8,455,7,6,9.8,100,mwc,6,12,836,0.509,1742,0.444,774,0.398,694,0.791,549,0.315,32,1,14,10,1305,Nevada,,107.2,23.0,240,53.6,400,8.3,90,803,0.487,1781,0.419,746,0.31,553,0.731,404,0.227,,24.8,276,620,2140,7.5,163,0.426,758,0.322,244,1023,0.491,502,50.1,1079,0.524,16.6,406,66.4,574,2324,11.36,9.0,194,6.84,0.377,657,0.346,227,1085,0.504,547,49.9,1076,0.561,13.7,328,0.688,22
NORTHERN-KENTUCKY,NORTHERN-KENTUCKY,55.4,461,6,6,8.2,88,horizon,6,14,727,0.504,1928,0.432,832,0.283,546,0.692,378,0.196,34,3,14,12,1385,Northern Kentucky,,105.4,32.0,376,61.3,471,7.1,80,798,0.509,1757,0.437,768,0.303,533,0.702,374,0.213,,31.9,340,540,2161,8.9,196,0.392,688,0.365,251,1069,0.484,517,50.8,1138,0.538,20.9,532,63.6,523,2320,-0.96,14.5,320,-3.43,0.412,794,0.35,278,1134,0.489,554,49.2,1103,0.53,15.1,388,0.647,22
NORTHWESTERN,NORTHWESTERN,55.0,414,4,7,13.6,133,big-ten,8,12,780,0.472,1856,0.406,753,0.297,551,0.751,414,0.223,32,5,13,11,1290,Northwestern,,102.8,28.2,327,61.0,425,10.1,110,831,0.484,1692,0.412,697,0.316,535,0.677,362,0.214,,27.3,293,530,1999,7.0,148,0.424,717,0.339,243,975,0.466,454,50.4,1124,0.514,19.0,456,65.3,517,2165,13.59,12.1,255,8.41,0.412,764,0.321,245,1092,0.465,508,49.6,1107,0.511,12.8,312,0.656,21
ORAL-ROBERTS,ORAL-ROBERTS,48.5,504,4,11,14.2,183,summit,0,18,954,0.564,2168,0.479,1039,0.249,540,0.776,419,0.193,34,0,16,4,1360,Oral Roberts,,117.5,25.4,302,45.7,405,7.6,89,886,0.483,2143,0.414,887,0.205,439,0.718,315,0.147,,27.1,355,511,2384,7.2,175,0.398,852,0.346,295,1291,0.459,592,49.7,1241,0.507,15.7,437,71.7,445,2864,9.61,9.6,234,-2.92,0.459,995,0.369,367,1173,0.573,672,50.3,1256,0.591,11.7,320,0.882,30
PENN-STATE,PENN-STATE,52.4,474,7,4,6.0,75,big-ten,10,10,903,0.557,1944,0.465,904,0.212,412,0.731,301,0.155,34,4,13,12,1385,Penn State,,110.4,18.9,206,55.7,478,9.9,101,884,0.494,1989,0.431,858,0.257,511,0.706,361,0.181,,24.8,298,458,2327,7.2,161,0.373,741,0.337,250,1248,0.487,608,51.6,1182,0.521,11.7,295,64.5,529,2466,12.68,6.7,149,8.59,0.474,922,0.387,357,1022,0.535,547,48.4,1109,0.576,12.5,305,0.647,22
PITTSBURGH,PITTSBURGH,54.7,475,5,7,11.5,134,acc,6,14,852,0.532,1916,0.453,868,0.324,620,0.761,472,0.246,33,3,14,11,1320,Pittsburgh,,111.7,30.4,341,52.9,436,10.1,108,781,0.492,1936,0.426,824,0.306,593,0.71,421,0.217,,28.2,335,586,2326,7.4,167,0.397,768,0.335,257,1168,0.485,567,48.3,1116,0.524,14.5,376,68.1,536,2512,9.94,7.6,170,4.3,0.441,845,0.36,304,1071,0.527,564,51.7,1193,0.568,14.3,369,0.667,22
