,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name
2024-25,12.2,16.0,0.4,1.0,9.1,sec,2.5,4.6,10.0,0.1,0.67,56.0,0.5,28.0,0.357,20.0,0.85,17.0,8.0,5.0,,206.0,6.7,2.1,4.0,0.6,13.0,16.3,latrell-wrightselljr-1,92.0,83.0,Guard,1.0,4.0,ALABAMA,0.804,45.0,0.422,19.0,3.4,14.0,0.702,13.2,10.0,11.0,0.818,9.0,16.5,,0.8,0.149,Latrell Wrightsell Jr.
2024-25,3.4,1.0,0.0,0.0,13.8,sec,5.2,14.1,7.0,0.1,0.792,12.0,0.583,7.0,0.0,0.0,,0.0,6.0,0.0,,47.0,8.6,13.8,6.0,0.2,4.0,24.0,houston-mallette-1,19.0,17.0,Guard,3.4,3.0,ALABAMA,0.833,10.0,0.5,5.0,14.0,13.0,0.792,0.0,0.0,2.0,1.0,2.0,11.5,,0.3,0.228,Houston Mallette
2024-25,0.0,0.0,0.0,0.0,2.5,sec,2.7,27.0,4.0,0.0,0.5,2.0,0.5,1.0,0.0,0.0,,0.0,8.0,0.0,,14.0,-0.2,0.0,0.0,0.0,0.0,7.6,max-scharnowski-1,2.0,2.0,Forward,0.0,0.0,ALABAMA,0.0,0.0,,0.0,14.4,4.0,0.5,0.0,0.0,2.0,0.5,1.0,6.4,,0.0,0.067,Max Scharnowski
2024-25,18.1,84.0,0.1,1.0,-0.6,swac,-0.5,5.4,47.0,1.3,0.441,448.0,0.4,179.0,0.315,141.0,0.766,108.0,35.0,35.0,,999.0,-0.1,2.1,21.0,1.3,53.0,17.2,amarr-knox-1,503.0,480.0,Guard,3.4,59.0,ALABAMA-STATE,0.27,121.0,0.306,37.0,3.6,68.0,0.488,8.8,50.0,327.0,0.434,142.0,27.9,,2.6,0.104,Amarr Knox
2024-25,18.0,84.0,0.5,4.0,-0.6,swac,-1.6,8.3,73.0,1.2,0.51,416.0,0.425,177.0,0.204,85.0,0.729,62.0,34.0,34.0,,999.0,0.9,2.9,29.0,2.0,82.0,17.4,cj-hines-1,486.0,458.0,Guard,2.1,37.0,ALABAMA-STATE,0.433,180.0,0.389,70.0,5.4,102.0,0.532,8.8,44.0,236.0,0.453,107.0,24.7,,3.2,0.127,CJ Hines
2024-25,17.2,86.0,1.2,10.0,0.1,swac,-0.3,22.3,193.0,1.7,0.458,320.0,0.425,136.0,0.541,173.0,0.705,122.0,33.0,32.0,,989.0,0.4,4.3,43.0,1.6,64.0,18.3,antonio-madlock-1,415.0,421.0,Guard,2.0,34.0,ALABAMA-STATE,0.222,71.0,0.296,21.0,12.7,236.0,0.516,11.4,52.0,249.0,0.462,115.0,22.6,,3.3,0.133,TJ Madlock
2024-25,13.6,43.0,0.6,3.0,-4.1,swac,-1.8,9.3,50.0,0.8,0.468,221.0,0.353,78.0,0.158,35.0,0.8,28.0,35.0,1.0,,612.0,-2.3,1.1,7.0,0.5,46.0,12.3,micah-simpson-1,235.0,219.0,Guard,2.4,25.0,ALABAMA-STATE,0.701,155.0,0.329,51.0,4.9,57.0,0.494,10.2,27.0,66.0,0.409,27.0,21.3,,1.3,0.084,Micah Simpson
2024-25,4.3,15.0,4.8,27.0,-4.0,swac,-1.3,11.8,68.0,0.9,0.469,176.0,0.409,72.0,0.193,34.0,0.588,20.0,35.0,17.0,,655.0,-2.6,8.3,55.0,0.8,82.0,12.8,jasteven-walker-1,185.0,190.0,Forward,1.3,15.0,ALABAMA-STATE,0.432,76.0,0.276,21.0,10.0,123.0,0.481,5.9,12.0,100.0,0.51,51.0,15.4,,1.6,0.101,Jasteven Walker
2024-25,5.8,14.0,3.0,12.0,-3.0,swac,-1.0,17.7,72.0,0.8,0.503,143.0,0.406,58.0,0.217,31.0,0.613,19.0,35.0,5.0,,463.0,-2.0,8.1,38.0,0.5,60.0,14.8,dante-bass-1,163.0,160.0,Forward,2.2,18.0,ALABAMA-STATE,0.608,87.0,0.322,28.0,12.6,110.0,0.517,12.2,22.0,56.0,0.536,30.0,19.1,,1.3,0.11,D'Ante Bass
2024-25,4.7,19.0,1.3,8.0,-3.8,swac,0.3,16.2,101.0,1.3,0.432,154.0,0.357,55.0,0.188,29.0,0.379,11.0,28.0,26.0,,713.0,-4.1,6.8,49.0,0.2,75.0,10.7,micah-octave-1,144.0,156.0,Guard,3.5,43.0,ALABAMA-STATE,0.597,92.0,0.25,23.0,11.2,150.0,0.429,9.2,17.0,62.0,0.516,32.0,12.8,,1.5,0.083,Micah Octave
2024-25,4.6,10.0,0.8,3.0,-2.4,swac,-2.0,11.8,43.0,0.4,0.573,123.0,0.398,49.0,0.024,3.0,0.667,2.0,30.0,4.0,,414.0,-0.3,1.4,6.0,0.6,28.0,12.2,tyler-mack-1,143.0,120.0,Guard,1.1,8.0,ALABAMA-STATE,0.894,110.0,0.391,43.0,6.3,49.0,0.575,6.0,8.0,13.0,0.462,6.0,15.8,,1.1,0.106,Tyler Mack
